HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-04-25 21:00;2024-04-25 23:00;DK1;594,659973;79,739998
2024-04-25 20:00;2024-04-25 22:00;DK1;681,239990;91,349998
2024-04-25 19:00;2024-04-25 21:00;DK1;847,989990;113,709999
2024-04-25 18:00;2024-04-25 20:00;DK1;1135,699951;152,289993
2024-04-25 17:00;2024-04-25 19:00;DK1;1052,170044;141,089996
2024-04-25 16:00;2024-04-25 18:00;DK1;709,729980;95,169998
2024-04-25 15:00;2024-04-25 17:00;DK1;595,700012;79,879997
2024-04-25 14:00;2024-04-25 16:00;DK1;542,979980;72,809998
2024-04-25 13:00;2024-04-25 15:00;DK1;516,950012;69,320000
2024-04-25 12:00;2024-04-25 14:00;DK1;495,250000;66,410004
2024-04-25 11:00;2024-04-25 13:00;DK1;512,099976;68,669998
2024-04-25 10:00;2024-04-25 12:00;DK1;551,260010;73,919998
2024-04-25 09:00;2024-04-25 11:00;DK1;583,169983;78,199997
2024-04-25 08:00;2024-04-25 10:00;DK1;596,669983;80,010002
2024-04-25 07:00;2024-04-25 09:00;DK1;686,830017;92,099998
2024-04-25 06:00;2024-04-25 08:00;DK1;840,530029;112,709999
2024-04-25 05:00;2024-04-25 07:00;DK1;962,390015;129,050003
2024-04-25 04:00;2024-04-25 06:00;DK1;763,940002;102,440002
2024-04-25 03:00;2024-04-25 05:00;DK1;626,580017;84,019997
2024-04-25 02:00;2024-04-25 04:00;DK1;561,099976;75,239998
2024-04-25 01:00;2024-04-25 03:00;DK1;567,140015;76,050003
2024-04-25 00:00;2024-04-25 02:00;DK1;576,979980;77,370003
2024-04-24 23:00;2024-04-25 01:00;DK1;596,599976;80,000000
2024-04-24 22:00;2024-04-25 00:00;DK1;622,700012;83,500000
2024-04-24 21:00;2024-04-24 23:00;DK1;673,000000;90,209999
2024-04-24 20:00;2024-04-24 22:00;DK1;785,650024;105,309998
2024-04-24 19:00;2024-04-24 21:00;DK1;903,900024;121,160004
2024-04-24 18:00;2024-04-24 20:00;DK1;1070,119995;143,440002
2024-04-24 17:00;2024-04-24 19:00;DK1;1008,640015;135,199997
2024-04-24 16:00;2024-04-24 18:00;DK1;757,530029;101,540001
2024-04-24 15:00;2024-04-24 17:00;DK1;646,070007;86,599998
2024-04-24 14:00;2024-04-24 16:00;DK1;605,190002;81,120003
2024-04-24 13:00;2024-04-24 15:00;DK1;602,130005;80,709999
2024-04-24 12:00;2024-04-24 14:00;DK1;570,940002;76,529999
2024-04-24 11:00;2024-04-24 13:00;DK1;597,500000;80,089996
2024-04-24 10:00;2024-04-24 12:00;DK1;616,229980;82,599998
2024-04-24 09:00;2024-04-24 11:00;DK1;659,130005;88,349998
2024-04-24 08:00;2024-04-24 10:00;DK1;676,960022;90,739998
2024-04-24 07:00;2024-04-24 09:00;DK1;684,940002;91,809998
2024-04-24 06:00;2024-04-24 08:00;DK1;798,780029;107,070000
2024-04-24 05:00;2024-04-24 07:00;DK1;956,200012;128,169998
2024-04-24 04:00;2024-04-24 06:00;DK1;758,419983;101,660004
2024-04-24 03:00;2024-04-24 05:00;DK1;610,479980;81,830002
2024-04-24 02:00;2024-04-24 04:00;DK1;567,289978;76,040001
2024-04-24 01:00;2024-04-24 03:00;DK1;545,130005;73,070000
2024-04-24 00:00;2024-04-24 02:00;DK1;566,090027;75,879997
2024-04-23 23:00;2024-04-24 01:00;DK1;569,150024;76,290001
2024-04-23 22:00;2024-04-24 00:00;DK1;600,929993;80,550003
2024-04-23 21:00;2024-04-23 23:00;DK1;608,460022;81,550003
2024-04-23 20:00;2024-04-23 22:00;DK1;691,880005;92,730003
2024-04-23 19:00;2024-04-23 21:00;DK1;784,169983;105,099998
2024-04-23 18:00;2024-04-23 20:00;DK1;933,169983;125,070000
2024-04-23 17:00;2024-04-23 19:00;DK1;917,799988;123,010002
2024-04-23 16:00;2024-04-23 18:00;DK1;764,030029;102,400002
2024-04-23 15:00;2024-04-23 17:00;DK1;671,289978;89,970001
2024-04-23 14:00;2024-04-23 16:00;DK1;619,429993;83,019997
2024-04-23 13:00;2024-04-23 15:00;DK1;597,049988;80,019997
2024-04-23 12:00;2024-04-23 14:00;DK1;586,599976;78,620003
2024-04-23 11:00;2024-04-23 13:00;DK1;592,270020;79,379997
2024-04-23 10:00;2024-04-23 12:00;DK1;577,950012;77,459999
2024-04-23 09:00;2024-04-23 11:00;DK1;576,450012;77,260002
2024-04-23 08:00;2024-04-23 10:00;DK1;618,309998;82,870003
2024-04-23 07:00;2024-04-23 09:00;DK1;734,030029;98,379997
2024-04-23 06:00;2024-04-23 08:00;DK1;1016,820007;136,279999
2024-04-23 05:00;2024-04-23 07:00;DK1;1352,420044;181,259995
2024-04-23 04:00;2024-04-23 06:00;DK1;905,789978;121,400002
2024-04-23 03:00;2024-04-23 05:00;DK1;728,890015;97,690002
2024-04-23 02:00;2024-04-23 04:00;DK1;644,280029;86,349998
2024-04-23 01:00;2024-04-23 03:00;DK1;637,340027;85,419998
2024-04-23 00:00;2024-04-23 02:00;DK1;641,289978;85,949997
2024-04-22 23:00;2024-04-23 01:00;DK1;646,809998;86,690002
2024-04-22 22:00;2024-04-23 00:00;DK1;658,969971;88,320000
2024-04-22 21:00;2024-04-22 23:00;DK1;723,640015;96,989998
2024-04-22 20:00;2024-04-22 22:00;DK1;789,140015;105,769997
2024-04-22 19:00;2024-04-22 21:00;DK1;970,299988;130,050003
2024-04-22 18:00;2024-04-22 20:00;DK1;1275,520020;170,960007
2024-04-22 17:00;2024-04-22 19:00;DK1;1223,969971;164,050003
2024-04-22 16:00;2024-04-22 18:00;DK1;881,880005;118,199997
2024-04-22 15:00;2024-04-22 17:00;DK1;722,150024;96,790001
2024-04-22 14:00;2024-04-22 16:00;DK1;536,440002;71,900002
2024-04-22 13:00;2024-04-22 15:00;DK1;559,650024;75,010002
2024-04-22 12:00;2024-04-22 14:00;DK1;553,080017;74,129997
2024-04-22 11:00;2024-04-22 13:00;DK1;549,650024;73,669998
2024-04-22 10:00;2024-04-22 12:00;DK1;574,869995;77,050003
2024-04-22 09:00;2024-04-22 11:00;DK1;606,130005;81,239998
2024-04-22 08:00;2024-04-22 10:00;DK1;610,750000;81,860001
2024-04-22 07:00;2024-04-22 09:00;DK1;724,090027;97,050003
2024-04-22 06:00;2024-04-22 08:00;DK1;876,359985;117,459999
2024-04-22 05:00;2024-04-22 07:00;DK1;975,820007;130,789993
2024-04-22 04:00;2024-04-22 06:00;DK1;790,109985;105,900002
2024-04-22 03:00;2024-04-22 05:00;DK1;652,830017;87,500000
2024-04-22 02:00;2024-04-22 04:00;DK1;595,309998;79,790001
2024-04-22 01:00;2024-04-22 03:00;DK1;596,280029;79,919998
2024-04-22 00:00;2024-04-22 02:00;DK1;585,239990;78,440002
2024-04-21 23:00;2024-04-22 01:00;DK1;582,330017;78,050003
2024-04-21 22:00;2024-04-22 00:00;DK1;589,190002;78,970001
2024-04-21 21:00;2024-04-21 23:00;DK1;660,000000;88,459999
2024-04-21 20:00;2024-04-21 22:00;DK1;667,080017;89,410004
2024-04-21 19:00;2024-04-21 21:00;DK1;679,469971;91,070000
2024-04-21 18:00;2024-04-21 20:00;DK1;710,729980;95,260002
2024-04-21 17:00;2024-04-21 19:00;DK1;666,710022;89,360001
2024-04-21 16:00;2024-04-21 18:00;DK1;556,590027;74,599998
2024-04-21 15:00;2024-04-21 17:00;DK1;434,380005;58,220001
2024-04-21 14:00;2024-04-21 16:00;DK1;44,840000;6,010000
2024-04-21 13:00;2024-04-21 15:00;DK1;5,600000;0,750000
2024-04-21 12:00;2024-04-21 14:00;DK1;-6,710000;-0,900000
2024-04-21 11:00;2024-04-21 13:00;DK1;2,090000;0,280000
2024-04-21 10:00;2024-04-21 12:00;DK1;45,209999;6,060000
2024-04-21 09:00;2024-04-21 11:00;DK1;275,760010;36,959999
2024-04-21 08:00;2024-04-21 10:00;DK1;246,139999;32,990002
2024-04-21 07:00;2024-04-21 09:00;DK1;413,190002;55,380001
2024-04-21 06:00;2024-04-21 08:00;DK1;454,220001;60,880001
2024-04-21 05:00;2024-04-21 07:00;DK1;451,609985;60,529999
2024-04-21 04:00;2024-04-21 06:00;DK1;480,709991;64,430000
2024-04-21 03:00;2024-04-21 05:00;DK1;474,670013;63,619999
2024-04-21 02:00;2024-04-21 04:00;DK1;476,609985;63,880001
2024-04-21 01:00;2024-04-21 03:00;DK1;480,489990;64,400002
2024-04-21 00:00;2024-04-21 02:00;DK1;518,760010;69,529999
2024-04-20 23:00;2024-04-21 01:00;DK1;526,669983;70,589996
2024-04-20 22:00;2024-04-21 00:00;DK1;610,679993;81,849998
2024-04-20 21:00;2024-04-20 23:00;DK1;618,619995;82,900002
2024-04-20 20:00;2024-04-20 22:00;DK1;642,280029;86,070000
